cross	tetrad	individual	chromosome	left_bound	right_bound	mid_point	length
C2	C2-20	C2-20.4	chromosome_1	2030890	2035598	2033244	4708
C2	C2-20	C2-20.4	chromosome_1	6480073	6489405	6484739	9332
C2	C2-20	C2-20.4	chromosome_2	2890548	3025815	2958181	135267
C2	C2-20	C2-20.4	chromosome_2	3660801	3688073	3674437	27272
C2	C2-20	C2-20.4	chromosome_2	9037650	9096779	9067214	59129
C2	C2-20	C2-20.4	chromosome_3	596945	600185	598565	3240
C2	C2-20	C2-20.4	chromosome_3	4916317	4916455	4916386	138
C2	C2-20	C2-20.4	chromosome_4	3375509	3375586	3375547	77
C2	C2-20	C2-20.4	chromosome_6	2154689	2154721	2154705	32
C2	C2-20	C2-20.4	chromosome_7	3626459	3626502	3626480	43
C2	C2-20	C2-20.4	chromosome_8	3338335	3339732	3339033	1397
C2	C2-20	C2-20.4	chromosome_9	2189531	2190086	2189808	555
C2	C2-20	C2-20.4	chromosome_10	2407291	2407371	2407331	80
C2	C2-20	C2-20.4	chromosome_13	3982075	3984412	3983243	2337
C2	C2-20	C2-20.4	chromosome_14	1718255	1733416	1725835	15161
C2	C2-20	C2-20.4	chromosome_15	1817098	1866288	1841693	49190
C2	C2-20	C2-20.4	chromosome_16	2126622	2134101	2130361	7479
C2	C2-20	C2-20.4	chromosome_16	6757854	6759149	6758501	1295
C2	C2-20	C2-20.4	chromosome_17	4679071	4704427	4691749	25356
C2	C2-20	C2-20.4	chromosome_17	4822626	4823275	4822950	649
C2	C2-20	C2-20.4	chromosome_17	5630808	5630947	5630877	139
C2	C2-13	C2-13.1	chromosome_1	1488388	1497153	1492770	8765
C2	C2-13	C2-13.1	chromosome_2	4856187	4856247	4856217	60
C2	C2-13	C2-13.1	chromosome_5	406749	406821	406785	72
C2	C2-13	C2-13.1	chromosome_7	580244	580310	580277	66
C2	C2-13	C2-13.1	chromosome_9	2278862	2350035	2314448	71173
C2	C2-13	C2-13.1	chromosome_10	1834893	1870953	1852923	36060
C2	C2-13	C2-13.1	chromosome_11	1211920	1212091	1212005	171
C2	C2-13	C2-13.1	chromosome_12	1035425	1035796	1035610	371
C2	C2-13	C2-13.1	chromosome_13	1494507	1494552	1494529	45
C2	C2-13	C2-13.1	chromosome_14	1718210	1733416	1725813	15206
C2	C2-13	C2-13.1	chromosome_15	549781	639780	594780	89999
C2	C2-13	C2-13.1	chromosome_17	1192725	1192903	1192814	178
C2	C2-13	C2-13.2	chromosome_1	1488388	1497153	1492770	8765
C2	C2-13	C2-13.2	chromosome_2	7980356	8198633	8089494	218277
C2	C2-13	C2-13.2	chromosome_3	4420187	4420272	4420229	85
C2	C2-13	C2-13.2	chromosome_4	3600527	3601074	3600800	547
C2	C2-13	C2-13.2	chromosome_6	6231202	6231238	6231220	36
C2	C2-13	C2-13.2	chromosome_8	363506	364463	363984	957
C2	C2-13	C2-13.2	chromosome_9	2278862	2350035	2314448	71173
C2	C2-13	C2-13.2	chromosome_9	2644728	2645134	2644931	406
C2	C2-13	C2-13.2	chromosome_9	4049226	4049338	4049282	112
C2	C2-13	C2-13.2	chromosome_10	1834893	1870953	1852923	36060
C2	C2-13	C2-13.2	chromosome_11	1212107	1212543	1212325	436
C2	C2-13	C2-13.2	chromosome_12	1035425	1035796	1035610	371
C2	C2-13	C2-13.2	chromosome_13	1494307	1494383	1494345	76
C2	C2-13	C2-13.2	chromosome_14	1718178	1718210	1718194	32
C2	C2-13	C2-13.2	chromosome_15	549781	639780	594780	89999
C2	C2-13	C2-13.3	chromosome_2	7980356	8198633	8089494	218277
C2	C2-13	C2-13.3	chromosome_3	4420272	4420388	4420330	116
C2	C2-13	C2-13.3	chromosome_4	3600285	3600325	3600305	40
C2	C2-13	C2-13.3	chromosome_6	6231056	6231202	6231129	146
C2	C2-13	C2-13.3	chromosome_7	4736508	4737018	4736763	510
C2	C2-13	C2-13.3	chromosome_8	363506	364463	363984	957
C2	C2-13	C2-13.3	chromosome_9	2644728	2645134	2644931	406
C2	C2-13	C2-13.3	chromosome_9	4049226	4049338	4049282	112
C2	C2-13	C2-13.3	chromosome_10	6212124	6212548	6212336	424
C2	C2-13	C2-13.3	chromosome_12	9153150	9153394	9153272	244
C2	C2-13	C2-13.3	chromosome_16	4814699	4815390	4815044	691
C2	C2-13	C2-13.4	chromosome_2	4856458	4856488	4856473	30
C2	C2-13	C2-13.4	chromosome_5	406378	406408	406393	30
C2	C2-13	C2-13.4	chromosome_7	580499	580634	580566	135
C2	C2-13	C2-13.4	chromosome_7	4736508	4737018	4736763	510
C2	C2-13	C2-13.4	chromosome_10	6212548	6212583	6212565	35
C2	C2-13	C2-13.4	chromosome_12	9153543	9153680	9153611	137
C2	C2-13	C2-13.4	chromosome_16	4814574	4814699	4814636	125
C2	C2-13	C2-13.4	chromosome_17	1193069	1193354	1193211	285
C2	C2-17	C2-17.1	chromosome_2	894755	895351	895053	596
C2	C2-17	C2-17.1	chromosome_2	3555728	3576713	3566220	20985
C2	C2-17	C2-17.1	chromosome_2	3660801	3688073	3674437	27272
C2	C2-17	C2-17.1	chromosome_2	6967208	6986798	6977003	19590
C2	C2-17	C2-17.1	chromosome_4	2480870	2480992	2480931	122
C2	C2-17	C2-17.1	chromosome_5	1000926	1003056	1001991	2130
C2	C2-17	C2-17.1	chromosome_5	1882058	1906983	1894520	24925
C2	C2-17	C2-17.1	chromosome_6	4223915	4224420	4224167	505
C2	C2-17	C2-17.1	chromosome_8	3864934	3864986	3864960	52
C2	C2-17	C2-17.1	chromosome_9	6018027	6018930	6018478	903
C2	C2-17	C2-17.1	chromosome_10	4924609	4997299	4960954	72690
C2	C2-17	C2-17.1	chromosome_11	2193291	2381193	2287242	187902
C2	C2-17	C2-17.1	chromosome_12	484360	488983	486671	4623
C2	C2-17	C2-17.1	chromosome_12	682150	692448	687299	10298
C2	C2-17	C2-17.1	chromosome_12	825296	868112	846704	42816
C2	C2-17	C2-17.1	chromosome_13	837890	837996	837943	106
C2	C2-17	C2-17.1	chromosome_14	2361340	2364871	2363105	3531
C2	C2-17	C2-17.1	chromosome_17	4679071	4704427	4691749	25356
C2	C2-17	C2-17.1	chromosome_17	5004847	5063031	5033939	58184
C2	C2-17	C2-17.1	chromosome_17	5630376	5630416	5630396	40
C2	C2-17	C2-17.2	chromosome_1	3440560	3441325	3440942	765
C2	C2-17	C2-17.2	chromosome_2	7980356	8194671	8087513	214315
C2	C2-17	C2-17.2	chromosome_3	1381140	1381671	1381405	531
C2	C2-17	C2-17.2	chromosome_3	8172078	8172158	8172118	80
C2	C2-17	C2-17.2	chromosome_7	868037	870030	869033	1993
C2	C2-17	C2-17.2	chromosome_7	4736508	4737018	4736763	510
C2	C2-17	C2-17.2	chromosome_8	1040620	1065086	1052853	24466
C2	C2-17	C2-17.2	chromosome_9	2644728	2645134	2644931	406
C2	C2-17	C2-17.2	chromosome_9	4049226	4049338	4049282	112
C2	C2-17	C2-17.2	chromosome_12	8115672	8115857	8115764	185
C2	C2-17	C2-17.2	chromosome_13	4740142	4741391	4740766	1249
C2	C2-17	C2-17.2	chromosome_15	1105959	1119102	1112530	13143
C2	C2-17	C2-17.2	chromosome_16	4945750	4946150	4945950	400
C2	C2-17	C2-17.3	chromosome_2	3555728	3576713	3566220	20985
C2	C2-17	C2-17.3	chromosome_2	3660801	3688073	3674437	27272
C2	C2-17	C2-17.3	chromosome_2	6967208	6986798	6977003	19590
C2	C2-17	C2-17.3	chromosome_3	1381140	1381671	1381405	531
C2	C2-17	C2-17.3	chromosome_5	1000926	1003056	1001991	2130
C2	C2-17	C2-17.3	chromosome_5	1882058	1906983	1894520	24925
C2	C2-17	C2-17.3	chromosome_6	4223915	4224420	4224167	505
C2	C2-17	C2-17.3	chromosome_7	4736508	4737018	4736763	510
C2	C2-17	C2-17.3	chromosome_8	1040620	1065086	1052853	24466
C2	C2-17	C2-17.3	chromosome_8	3864726	3864770	3864748	44
C2	C2-17	C2-17.3	chromosome_10	4924609	4997299	4960954	72690
C2	C2-17	C2-17.3	chromosome_11	2193291	2381193	2287242	187902
C2	C2-17	C2-17.3	chromosome_12	489004	489564	489284	560
C2	C2-17	C2-17.3	chromosome_12	682150	692448	687299	10298
C2	C2-17	C2-17.3	chromosome_12	825296	868112	846704	42816
C2	C2-17	C2-17.3	chromosome_12	8115510	8115591	8115550	81
C2	C2-17	C2-17.3	chromosome_13	837446	837565	837505	119
C2	C2-17	C2-17.3	chromosome_13	4741466	4741919	4741692	453
C2	C2-17	C2-17.3	chromosome_15	1105959	1119102	1112530	13143
C2	C2-17	C2-17.4	chromosome_1	3440560	3441325	3440942	765
C2	C2-17	C2-17.4	chromosome_2	894514	894755	894634	241
C2	C2-17	C2-17.4	chromosome_2	7980356	8194671	8087513	214315
C2	C2-17	C2-17.4	chromosome_3	8172078	8172158	8172118	80
C2	C2-17	C2-17.4	chromosome_4	2481226	2481334	2481280	108
C2	C2-17	C2-17.4	chromosome_7	868037	870030	869033	1993
C2	C2-17	C2-17.4	chromosome_9	2644728	2645134	2644931	406
C2	C2-17	C2-17.4	chromosome_9	4049226	4049338	4049282	112
C2	C2-17	C2-17.4	chromosome_9	6018027	6018930	6018478	903
C2	C2-17	C2-17.4	chromosome_14	2361340	2364871	2363105	3531
C2	C2-17	C2-17.4	chromosome_16	4945577	4945624	4945600	47
C2	C2-17	C2-17.4	chromosome_17	4679071	4704427	4691749	25356
C2	C2-17	C2-17.4	chromosome_17	5004847	5063031	5033939	58184
C2	C2-17	C2-17.4	chromosome_17	5630779	5630807	5630793	28
C2	C2-4	C2-4.1	chromosome_2	2890548	3025815	2958181	135267
C2	C2-4	C2-4.1	chromosome_2	3660801	3688073	3674437	27272
C2	C2-4	C2-4.1	chromosome_3	8362842	8415388	8389115	52546
C2	C2-4	C2-4.1	chromosome_3	8581781	8581931	8581856	150
C2	C2-4	C2-4.1	chromosome_4	648646	1046586	847616	397940
C2	C2-4	C2-4.1	chromosome_5	709216	731270	720243	22054
C2	C2-4	C2-4.1	chromosome_5	2703904	2705130	2704517	1226
C2	C2-4	C2-4.1	chromosome_6	8465432	8465447	8465439	15
C2	C2-4	C2-4.1	chromosome_7	1401881	1402522	1402201	641
C2	C2-4	C2-4.1	chromosome_8	4205610	4205847	4205728	237
C2	C2-4	C2-4.1	chromosome_9	5685877	5686968	5686422	1091
C2	C2-4	C2-4.1	chromosome_10	3799836	3888429	3844132	88593
C2	C2-4	C2-4.1	chromosome_15	847386	850532	848959	3146
C2	C2-4	C2-4.1	chromosome_16	2126452	2134357	2130404	7905
C2	C2-4	C2-4.2	chromosome_2	2890548	3025815	2958181	135267
C2	C2-4	C2-4.2	chromosome_2	3660801	3688073	3674437	27272
C2	C2-4	C2-4.2	chromosome_2	7620762	7620849	7620805	87
C2	C2-4	C2-4.2	chromosome_2	7980356	8198633	8089494	218277
C2	C2-4	C2-4.2	chromosome_3	596945	600185	598565	3240
C2	C2-4	C2-4.2	chromosome_5	709216	731270	720243	22054
C2	C2-4	C2-4.2	chromosome_5	2705131	2706097	2705614	966
C2	C2-4	C2-4.2	chromosome_6	1223804	1226771	1225287	2967
C2	C2-4	C2-4.2	chromosome_6	8465691	8466041	8465866	350
C2	C2-4	C2-4.2	chromosome_7	1401881	1402522	1402201	641
C2	C2-4	C2-4.2	chromosome_8	4205325	4205460	4205392	135
C2	C2-4	C2-4.2	chromosome_9	5684077	5685877	5684977	1800
C2	C2-4	C2-4.2	chromosome_10	3799380	3799836	3799608	456
C2	C2-4	C2-4.2	chromosome_12	1722824	1727035	1724929	4211
C2	C2-4	C2-4.2	chromosome_13	1771336	1771442	1771389	106
C2	C2-4	C2-4.2	chromosome_14	1718255	1733416	1725835	15161
C2	C2-4	C2-4.2	chromosome_15	847386	850532	848959	3146
C2	C2-4	C2-4.2	chromosome_16	2126452	2134357	2130404	7905
C2	C2-4	C2-4.3	chromosome_1	2030890	2035598	2033244	4708
C2	C2-4	C2-4.3	chromosome_1	6480073	6489405	6484739	9332
C2	C2-4	C2-4.3	chromosome_2	2823685	2834132	2828908	10447
C2	C2-4	C2-4.3	chromosome_2	3555728	3576734	3566231	21006
C2	C2-4	C2-4.3	chromosome_2	3660801	3688073	3674437	27272
C2	C2-4	C2-4.3	chromosome_2	7980356	8198633	8089494	218277
C2	C2-4	C2-4.3	chromosome_3	596945	600185	598565	3240
C2	C2-4	C2-4.3	chromosome_5	47057	162635	104846	115578
C2	C2-4	C2-4.3	chromosome_6	1223804	1226771	1225287	2967
C2	C2-4	C2-4.3	chromosome_7	5925008	5925387	5925197	379
C2	C2-4	C2-4.3	chromosome_9	2644728	2645134	2644931	406
C2	C2-4	C2-4.3	chromosome_9	4049226	4049389	4049307	163
C2	C2-4	C2-4.3	chromosome_11	2193291	2381193	2287242	187902
C2	C2-4	C2-4.3	chromosome_12	1722592	1722668	1722630	76
C2	C2-4	C2-4.3	chromosome_12	9113328	9113351	9113339	23
C2	C2-4	C2-4.3	chromosome_13	1770836	1771205	1771020	369
C2	C2-4	C2-4.3	chromosome_14	1718255	1733416	1725835	15161
C2	C2-4	C2-4.3	chromosome_16	4846169	4846575	4846372	406
C2	C2-4	C2-4.3	chromosome_17	3821468	3821639	3821553	171
C2	C2-4	C2-4.4	chromosome_1	2030890	2035598	2033244	4708
C2	C2-4	C2-4.4	chromosome_1	6480073	6489405	6484739	9332
C2	C2-4	C2-4.4	chromosome_2	2823685	2834132	2828908	10447
C2	C2-4	C2-4.4	chromosome_2	3555728	3576734	3566231	21006
C2	C2-4	C2-4.4	chromosome_2	3660801	3688073	3674437	27272
C2	C2-4	C2-4.4	chromosome_2	7620623	7620668	7620645	45
C2	C2-4	C2-4.4	chromosome_3	8362842	8415388	8389115	52546
C2	C2-4	C2-4.4	chromosome_3	8582009	8582069	8582039	60
C2	C2-4	C2-4.4	chromosome_4	648646	1046586	847616	397940
C2	C2-4	C2-4.4	chromosome_5	47057	162635	104846	115578
C2	C2-4	C2-4.4	chromosome_7	5924546	5924754	5924650	208
C2	C2-4	C2-4.4	chromosome_9	2644728	2645134	2644931	406
C2	C2-4	C2-4.4	chromosome_9	4049226	4049389	4049307	163
C2	C2-4	C2-4.4	chromosome_11	2193291	2381193	2287242	187902
C2	C2-4	C2-4.4	chromosome_12	9113409	9113506	9113457	97
C2	C2-4	C2-4.4	chromosome_16	4846056	4846169	4846112	113
C2	C2-4	C2-4.4	chromosome_17	3821659	3821789	3821724	130
C2	C2-14	C2-14.1	chromosome_1	2031009	2035598	2033303	4589
C2	C2-14	C2-14.1	chromosome_2	474476	474782	474629	306
C2	C2-14	C2-14.1	chromosome_2	3555728	3575191	3565459	19463
C2	C2-14	C2-14.1	chromosome_2	3660801	3688073	3674437	27272
C2	C2-14	C2-14.1	chromosome_2	5347005	5347169	5347087	164
C2	C2-14	C2-14.1	chromosome_3	2225715	2227537	2226626	1822
C2	C2-14	C2-14.1	chromosome_3	8362842	8415388	8389115	52546
C2	C2-14	C2-14.1	chromosome_3	8884025	8884236	8884130	211
C2	C2-14	C2-14.1	chromosome_5	709216	731270	720243	22054
C2	C2-14	C2-14.1	chromosome_5	2703904	2705130	2704517	1226
C2	C2-14	C2-14.1	chromosome_8	1699092	1699464	1699278	372
C2	C2-14	C2-14.1	chromosome_9	2644728	2645134	2644931	406
C2	C2-14	C2-14.1	chromosome_9	4046168	4049596	4047882	3428
C2	C2-14	C2-14.1	chromosome_9	6240622	6242118	6241370	1496
C2	C2-14	C2-14.1	chromosome_11	2193291	2381193	2287242	187902
C2	C2-14	C2-14.1	chromosome_11	3497956	3498207	3498081	251
C2	C2-14	C2-14.1	chromosome_12	6471150	6477061	6474105	5911
C2	C2-14	C2-14.1	chromosome_14	448250	449344	448797	1094
C2	C2-14	C2-14.1	chromosome_16	6757854	6759149	6758501	1295
C2	C2-14	C2-14.1	chromosome_17	4679071	4704427	4691749	25356
C2	C2-14	C2-14.1	chromosome_17	5049816	5063031	5056423	13215
C2	C2-14	C2-14.2	chromosome_2	7980356	8198633	8089494	218277
C2	C2-14	C2-14.2	chromosome_4	2481334	2481975	2481654	641
C2	C2-14	C2-14.2	chromosome_6	908623	911564	910093	2941
C2	C2-14	C2-14.2	chromosome_6	6967621	6969077	6968349	1456
C2	C2-14	C2-14.2	chromosome_7	1011619	1321601	1166610	309982
C2	C2-14	C2-14.2	chromosome_7	6080362	6080438	6080400	76
C2	C2-14	C2-14.2	chromosome_10	1666528	1740862	1703695	74334
C2	C2-14	C2-14.2	chromosome_13	901974	902527	902250	553
C2	C2-14	C2-14.2	chromosome_15	1105959	1120862	1113410	14903
C2	C2-14	C2-14.2	chromosome_16	2660592	4008618	3334605	1348026
C2	C2-14	C2-14.2	chromosome_17	3821084	3821122	3821103	38
C2	C2-14	C2-14.2	chromosome_17	4679071	4704427	4691749	25356
C2	C2-14	C2-14.2	chromosome_17	5049816	5063031	5056423	13215
C2	C2-14	C2-14.3	chromosome_1	3789815	3791748	3790781	1933
C2	C2-14	C2-14.3	chromosome_2	7980356	8198633	8089494	218277
C2	C2-14	C2-14.3	chromosome_3	8362842	8415388	8389115	52546
C2	C2-14	C2-14.3	chromosome_3	8883883	8884025	8883954	142
C2	C2-14	C2-14.3	chromosome_5	709216	731270	720243	22054
C2	C2-14	C2-14.3	chromosome_5	2705131	2705195	2705163	64
C2	C2-14	C2-14.3	chromosome_6	6967621	6969077	6968349	1456
C2	C2-14	C2-14.3	chromosome_8	1699092	1699464	1699278	372
C2	C2-14	C2-14.3	chromosome_9	6240622	6242118	6241370	1496
C2	C2-14	C2-14.3	chromosome_12	303603	320429	312016	16826
C2	C2-14	C2-14.3	chromosome_12	749627	749706	749666	79
C2	C2-14	C2-14.3	chromosome_12	825296	871877	848586	46581
C2	C2-14	C2-14.3	chromosome_13	902527	902544	902535	17
C2	C2-14	C2-14.3	chromosome_14	448250	449344	448797	1094
C2	C2-14	C2-14.3	chromosome_15	1105959	1120862	1113410	14903
C2	C2-14	C2-14.3	chromosome_16	2660592	4008618	3334605	1348026
C2	C2-14	C2-14.3	chromosome_17	4679071	4704427	4691749	25356
C2	C2-14	C2-14.3	chromosome_17	5049816	5063031	5056423	13215
C2	C2-14	C2-14.4	chromosome_1	2031009	2035598	2033303	4589
C2	C2-14	C2-14.4	chromosome_1	3789815	3791748	3790781	1933
C2	C2-14	C2-14.4	chromosome_2	474948	475001	474974	53
C2	C2-14	C2-14.4	chromosome_2	3555728	3575191	3565459	19463
C2	C2-14	C2-14.4	chromosome_2	3660801	3688073	3674437	27272
C2	C2-14	C2-14.4	chromosome_2	5346939	5346978	5346958	39
C2	C2-14	C2-14.4	chromosome_3	2225715	2227537	2226626	1822
C2	C2-14	C2-14.4	chromosome_4	2481200	2481226	2481213	26
C2	C2-14	C2-14.4	chromosome_6	908623	911564	910093	2941
C2	C2-14	C2-14.4	chromosome_7	1011619	1321601	1166610	309982
C2	C2-14	C2-14.4	chromosome_7	6080158	6080362	6080260	204
C2	C2-14	C2-14.4	chromosome_9	2644728	2645134	2644931	406
C2	C2-14	C2-14.4	chromosome_9	4046168	4049596	4047882	3428
C2	C2-14	C2-14.4	chromosome_10	1666528	1740862	1703695	74334
C2	C2-14	C2-14.4	chromosome_11	2193291	2381193	2287242	187902
C2	C2-14	C2-14.4	chromosome_11	3498254	3498588	3498421	334
C2	C2-14	C2-14.4	chromosome_12	303603	320429	312016	16826
C2	C2-14	C2-14.4	chromosome_12	749715	750079	749897	364
C2	C2-14	C2-14.4	chromosome_12	825296	871877	848586	46581
C2	C2-14	C2-14.4	chromosome_12	6471150	6477061	6474105	5911
C2	C2-14	C2-14.4	chromosome_16	6759155	6759345	6759250	190
C2	C2-14	C2-14.4	chromosome_17	3817921	3820818	3819369	2897
C2	C2-14	C2-14.4	chromosome_17	4679071	4704427	4691749	25356
C2	C2-14	C2-14.4	chromosome_17	5049816	5063031	5056423	13215
C2	C2-18	C2-18.1	chromosome_1	3440560	3441577	3441068	1017
C2	C2-18	C2-18.1	chromosome_2	4569581	4579422	4574501	9841
C2	C2-18	C2-18.1	chromosome_3	2473658	2473663	2473660	5
C2	C2-18	C2-18.1	chromosome_6	5905338	5918224	5911781	12886
C2	C2-18	C2-18.1	chromosome_7	4736508	4737026	4736767	518
C2	C2-18	C2-18.1	chromosome_9	2190486	2190609	2190547	123
C2	C2-18	C2-18.1	chromosome_9	2644728	2645134	2644931	406
C2	C2-18	C2-18.1	chromosome_9	4049226	4049566	4049396	340
C2	C2-18	C2-18.1	chromosome_10	6184205	6184326	6184265	121
C2	C2-18	C2-18.1	chromosome_11	3497956	3498207	3498081	251
C2	C2-18	C2-18.1	chromosome_12	306704	320429	313566	13725
C2	C2-18	C2-18.1	chromosome_12	749715	750106	749910	391
C2	C2-18	C2-18.1	chromosome_12	825296	871877	848586	46581
C2	C2-18	C2-18.1	chromosome_13	4226824	4422079	4324451	195255
C2	C2-18	C2-18.1	chromosome_17	4679071	4704427	4691749	25356
C2	C2-18	C2-18.1	chromosome_17	5004847	5063031	5033939	58184
C2	C2-18	C2-18.2	chromosome_2	7620910	7621494	7621202	584
C2	C2-18	C2-18.2	chromosome_3	8258676	8259072	8258874	396
C2	C2-18	C2-18.2	chromosome_4	2481226	2481334	2481280	108
C2	C2-18	C2-18.2	chromosome_5	709216	731270	720243	22054
C2	C2-18	C2-18.2	chromosome_5	2120176	2120748	2120462	572
C2	C2-18	C2-18.2	chromosome_8	2655790	2661811	2658800	6021
C2	C2-18	C2-18.2	chromosome_9	6635585	6636168	6635876	583
C2	C2-18	C2-18.2	chromosome_11	1337258	1373525	1355391	36267
C2	C2-18	C2-18.2	chromosome_11	1807442	1807655	1807548	213
C2	C2-18	C2-18.2	chromosome_11	2193291	2381193	2287242	187902
C2	C2-18	C2-18.2	chromosome_12	4810705	4814790	4812747	4085
C2	C2-18	C2-18.2	chromosome_14	448250	449198	448724	948
C2	C2-18	C2-18.2	chromosome_15	1105959	1119022	1112490	13063
C2	C2-18	C2-18.2	chromosome_16	619874	619914	619894	40
C2	C2-18	C2-18.2	chromosome_16	3978761	4008618	3993689	29857
C2	C2-18	C2-18.2	chromosome_17	4679071	4704427	4691749	25356
C2	C2-18	C2-18.2	chromosome_17	5004847	5063031	5033939	58184
C2	C2-18	C2-18.2	chromosome_17	6800030	6800062	6800046	32
C2	C2-18	C2-18.3	chromosome_2	7620587	7620598	7620592	11
C2	C2-18	C2-18.3	chromosome_3	2473776	2473875	2473825	99
C2	C2-18	C2-18.3	chromosome_6	5905338	5918224	5911781	12886
C2	C2-18	C2-18.3	chromosome_8	148660	151672	150166	3012
C2	C2-18	C2-18.3	chromosome_8	171871	229176	200523	57305
C2	C2-18	C2-18.3	chromosome_8	2661838	2662041	2661939	203
C2	C2-18	C2-18.3	chromosome_9	2190164	2190486	2190325	322
C2	C2-18	C2-18.3	chromosome_9	6636168	6636341	6636254	173
C2	C2-18	C2-18.3	chromosome_10	6183755	6183975	6183865	220
C2	C2-18	C2-18.3	chromosome_12	4810705	4814790	4812747	4085
C2	C2-18	C2-18.3	chromosome_13	4226824	4422079	4324451	195255
C2	C2-18	C2-18.3	chromosome_14	448250	449198	448724	948
C2	C2-18	C2-18.3	chromosome_15	1105959	1119022	1112490	13063
C2	C2-18	C2-18.3	chromosome_16	619733	619874	619803	141
C2	C2-18	C2-18.3	chromosome_16	3978761	4008618	3993689	29857
C2	C2-18	C2-18.3	chromosome_17	4679071	4704427	4691749	25356
C2	C2-18	C2-18.3	chromosome_17	5004847	5063031	5033939	58184
C2	C2-18	C2-18.4	chromosome_1	3440560	3441577	3441068	1017
C2	C2-18	C2-18.4	chromosome_2	4582210	4598675	4590442	16465
C2	C2-18	C2-18.4	chromosome_3	8258676	8259072	8258874	396
C2	C2-18	C2-18.4	chromosome_4	2480870	2480992	2480931	122
C2	C2-18	C2-18.4	chromosome_5	709216	731270	720243	22054
C2	C2-18	C2-18.4	chromosome_5	2119893	2119988	2119940	95
C2	C2-18	C2-18.4	chromosome_7	4736508	4737026	4736767	518
C2	C2-18	C2-18.4	chromosome_9	2644728	2645134	2644931	406
C2	C2-18	C2-18.4	chromosome_9	4049226	4049566	4049396	340
C2	C2-18	C2-18.4	chromosome_11	1337258	1373525	1355391	36267
C2	C2-18	C2-18.4	chromosome_11	1807987	1808017	1808002	30
C2	C2-18	C2-18.4	chromosome_11	2193291	2381193	2287242	187902
C2	C2-18	C2-18.4	chromosome_11	3498254	3498588	3498421	334
C2	C2-18	C2-18.4	chromosome_12	306704	320429	313566	13725
C2	C2-18	C2-18.4	chromosome_12	749715	750106	749910	391
C2	C2-18	C2-18.4	chromosome_12	825296	871877	848586	46581
C2	C2-18	C2-18.4	chromosome_17	4679071	4704427	4691749	25356
C2	C2-18	C2-18.4	chromosome_17	5004847	5063031	5033939	58184
C2	C2-18	C2-18.4	chromosome_17	6800431	6800458	6800444	27
C2	C2-10	C2-10.1	chromosome_1	5784898	5785267	5785082	369
C2	C2-10	C2-10.1	chromosome_2	2890548	3025815	2958181	135267
C2	C2-10	C2-10.1	chromosome_2	3660801	3690897	3675849	30096
C2	C2-10	C2-10.1	chromosome_2	7430923	7430954	7430938	31
C2	C2-10	C2-10.1	chromosome_3	2807448	2807512	2807480	64
C2	C2-10	C2-10.1	chromosome_3	8362697	8415628	8389162	52931
C2	C2-10	C2-10.1	chromosome_3	8581781	8581931	8581856	150
C2	C2-10	C2-10.1	chromosome_5	709216	731270	720243	22054
C2	C2-10	C2-10.1	chromosome_5	2804608	2804671	2804639	63
C2	C2-10	C2-10.1	chromosome_6	2371503	2393854	2382678	22351
C2	C2-10	C2-10.1	chromosome_7	1617629	1617709	1617669	80
C2	C2-10	C2-10.1	chromosome_8	4205541	4205586	4205563	45
C2	C2-10	C2-10.1	chromosome_13	4741466	4741919	4741692	453
C2	C2-10	C2-10.1	chromosome_14	2313133	2313566	2313349	433
C2	C2-10	C2-10.1	chromosome_16	4304895	4304990	4304942	95
C2	C2-10	C2-10.1	chromosome_17	4679071	4704427	4691749	25356
C2	C2-10	C2-10.1	chromosome_17	4972150	5063031	5017590	90881
C2	C2-10	C2-10.1	chromosome_17	5083199	5125295	5104247	42096
C2	C2-10	C2-10.2	chromosome_2	894514	894755	894634	241
C2	C2-10	C2-10.2	chromosome_2	2890548	3025815	2958181	135267
C2	C2-10	C2-10.2	chromosome_2	3660801	3690897	3675849	30096
C2	C2-10	C2-10.2	chromosome_2	7980356	8173027	8076691	192671
C2	C2-10	C2-10.2	chromosome_4	2480870	2480992	2480931	122
C2	C2-10	C2-10.2	chromosome_6	7358616	7359811	7359213	1195
C2	C2-10	C2-10.2	chromosome_8	363506	364339	363922	833
C2	C2-10	C2-10.2	chromosome_9	2123045	2123120	2123082	75
C2	C2-10	C2-10.2	chromosome_10	3177320	3178123	3177721	803
C2	C2-10	C2-10.2	chromosome_11	1337258	1373525	1355391	36267
C2	C2-10	C2-10.2	chromosome_11	2012546	2012953	2012749	407
C2	C2-10	C2-10.2	chromosome_11	2193291	2286585	2239938	93294
C2	C2-10	C2-10.2	chromosome_12	484360	488983	486671	4623
C2	C2-10	C2-10.2	chromosome_12	683005	692448	687726	9443
C2	C2-10	C2-10.2	chromosome_12	825296	871877	848586	46581
C2	C2-10	C2-10.2	chromosome_12	6931240	6940963	6936101	9723
C2	C2-10	C2-10.2	chromosome_13	524822	525035	524928	213
C2	C2-10	C2-10.2	chromosome_15	1105959	1119034	1112496	13075
C2	C2-10	C2-10.3	chromosome_1	5784898	5785267	5785082	369
C2	C2-10	C2-10.3	chromosome_2	2890548	3025815	2958181	135267
C2	C2-10	C2-10.3	chromosome_2	3660801	3690897	3675849	30096
C2	C2-10	C2-10.3	chromosome_2	7980356	8173027	8076691	192671
